3908 1655 2635    67 110 180  
3925 0 0    165 193 48  
3927 1690 2651    183 75 160  
3925 1697 2661    244 245 256  
3915 0 0    84 89 36  
0 1749 2658    64 134 67  
3941 1687 2633    122 76 159  
3945 1716 0    130 106 118  
3923 1678 2644    94 96 147  
3931 1684 0    135 73 171  
3923 1687 2654    98 180 197  
3934 1695 2647    84 140 166  
3919 0 0    142 133 31  
3919 1682 0    71 111 113  
3943 0 0    99 69 63  
3934 1687 2640    90 73 164  
3898 0 1523    79 128 284  
3919 0 0    81 108 34  
3919 0 0    67 106 48  
3915 1686 2660    81 89 183  
3907 0 0    116 156 45  
3920 1668 2635    72 129 207  
3925 0 0    198 160 41  
3919 0 0    111 110 20  
3923 0 0    104 123 46  
3940 0 0    86 110 46  
3908 1681 2659    119 95 111  
3920 1677 2646    83 94 192  
3922 1720 2686    81 179 74  
3914 1681 2655    64 114 179  
3924 1679 2642    82 70 145  
0 0 2651    133 138 175  
3922 1707 2674    81 72 85  
3934 1685 2639    74 102 172  
3902 1674 2662    109 185 170  
3925 0 0    139 233 36  
3893 0 0    72 86 37  
3942 0 0    120 86 39  
3882 0 0    63 121 39  
3916 7437 0    82 105 99  
3926 1704 2666    123 87 116  
3937 1686 2635    69 73 119  
3911 0 0    78 131 42  
3923 1684 2650    71 108 150  
3944 1684 2628    180 135 294  
3920 0 0    83 97 33  
3936 0 0    53 77 62  
15567 1693 2647    120 110 165  
3888 0 0    75 168 43  
3884 1677 2684    69 147 143  
3938 1698 2647    132 117 145  
0 1721 2658    235 352 286  
3915 1668 2641    60 83 132  
0 0 0    32 106 52  
3906 0 0    93 118 70  
3918 1688 2657    95 93 132  
3916 1737 2710    67 101 165  
3903 0 0    95 92 33  
3940 0 0    121 137 37  
3912 1681 2657    106 122 154  
3926 1746 2710    46 111 175  
3924 1670 2633    95 78 271  
3921 1695 2663    79 109 215  
3913 0 0    69 76 68  
3907 0 0    67 57 56  
3925 1677 2648    76 103 252  
3945 1688 2630    109 75 235  
3927 1689 2650    87 111 135  
0 1705 2593    190 104 302  
0 1747 0    94 97 153  
3914 1682 2657    96 163 158  
3926 0 0    114 99 35  
3904 1718 2701    74 134 76  
3906 1679 2660    90 149 164  
3914 1703 2678    71 86 75  
3927 1698 2658    120 86 123  
3919 1694 2664    109 66 133  
3926 1685 2649    87 209 248  
0 0 2646    118 167 113  
0 0 2747    78 114 146  
3937 1723 2674    127 119 77  
0 0 2663    87 120 413  
3929 1661 2628    61 103 154  
3908 1758 2740    72 119 313  
3929 0 0    75 99 58  
3945 1692 2636    91 86 170  
3929 1682 2642    85 110 158  
3935 1698 2648    111 92 169  
3902 1698 2713    61 120 103  
3898 1665 2655    78 87 169  
3915 1678 2650    84 88 118  
3925 1674 2637    76 64 139  
0 0 14378    89 77 31  
3912 1710 2686    79 94 76  
5048 1693 1515    71 72 182  
3900 1668 2656    66 111 150  
3922 1678 2645    94 99 134  
3939 0 0    95 97 39  
3887 1661 2669    63 152 98  
3928 1684 0    130 111 193  
0 0 0    86 77 175  
3932 1694 2650    101 116 128  
3920 0 0    89 101 51  
3919 1685 2655    91 115 182  
3852 0 5589    84 110 96  
3935 1693 2647    70 79 125  
3933 0 0    130 109 38  
3968 1683 2605    98 64 241  
3894 1669 2665    69 157 166  
3927 1749 2709    116 109 249  
0 0 0    32 24 38  
0 0 2645    143 168 429  
3926 1677 2641    83 81 167  
3927 0 0    123 144 41  
3902 0 0    75 95 63  
0 1707 2647    99 72 155  
3931 0 0    100 106 37  
3920 1687 2654    91 95 176  
3906 1672 2655    82 153 182  
3918 1718 2686    121 119 112  
3926 1694 2658    100 58 156  
0 0 0    35 24 159  
3929 1701 2660    167 131 138  
3914 1693 2669    88 114 113  
8739 6412 2659    217 128 124  
3937 0 0    118 124 36  
3919 1649 2618    70 119 629  
3940 0 0    117 83 38  
3923 0 0    76 90 36  
3963 1717 2639    36 14 78  
3945 0 0    211 113 57  
3921 0 0    75 100 50  
3916 0 0    81 78 59  
3901 0 0    84 81 52  
0 1698 0    78 83 251  
3912 1667 2655    69 103 182  
3935 1690 2641    101 72 132  
9745 0 0    37 119 38  
3970 0 0    36 129 109  
3927 1686 0    82 98 37  
3923 1701 2664    95 73 89  
3940 1685 2634    70 91 133  
3923 1685 2655    111 176 191  
3918 1745 2719    80 118 132  
3954 1685 2633    90 88 96  
0 1593 2647    68 60 217  
3921 1689 2656    95 90 226  
0 1681 0    84 101 41  
3977 0 0    105 65 41  
3942 0 0    113 61 36  
3914 0 0    83 132 42  
3930 1684 0    79 77 147  
3926 1710 2673    96 92 234  
3927 1693 2651    74 64 130  
3933 1699 2653    155 201 176  
3924 1671 2632    141 210 391  
3930 1703 2659    110 124 88  
3905 1743 2730    84 112 98  
3947 0 0    85 68 39  
3938 1692 2641    122 88 301  
3926 1683 2643    59 84 73  
3907 1680 2665    82 99 154  
3907 1733 10284    90 108 181  
3924 0 0    89 126 37  
0 1684 2445    235 197 249  
3922 1749 2716    72 94 145  
3886 1651 2654    65 84 179  
3911 0 0    90 158 34  
3936 0 0    69 74 39  
0 0 0    33 26 40  
0 0 0    34 115 52  
3904 1672 0    86 83 159  
3925 0 0    72 133 65  
3929 1673 2631    83 79 33  
3927 1683 0    86 73 128  
3879 0 0    73 85 197  
3918 1746 2719    49 104 100  
3904 1676 2662    69 88 94  
3914 1666 2633    63 146 197  
3939 0 0    86 101 39  
3887 7419 8640    90 102 53  
0 1694 2668    89 94 87  
3913 0 0    82 108 41  
3912 1676 2654    66 89 165  
3935 1685 2639    103 120 163  
3911 1762 2743    167 97 192  
3915 0 0    85 117 42  
3908 1697 2676    84 96 87  
3935 1697 2649    116 68 96  
3961 1680 2624    57 108 74  
3917 1708 2678    88 66 74  
3919 1685 2655    87 122 147  
3926 1675 2635    84 111 293  
3923 1671 2635    106 104 174  
3920 1695 2662    78 94 193  
3921 0 0    74 128 56  
3924 1686 2650    116 126 155  
3929 1706 2668    122 136 76  
3946 1678 2620    85 69 141  
3908 1671 2650    74 81 158  
3928 1690 2651    138 147 296  
3908 1735 0    64 147 139  
3945 13029 0    101 113 53  
3897 1725 0    51 103 136  
9745 1753 8592    114 151 90  
3948 1705 2644    97 60 81  
3925 1684 2647    63 60 103  
3921 0 0    81 155 34  
3895 1677 2671    84 275 175  
0 1725 2626    86 237 124  
3929 1689 2647    89 115 118  
3859 0 0    32 31 136  
3899 0 0    71 128 40  
3889 0 0    60 108 31  
3930 1695 2652    113 68 170  
3916 1706 2678    90 95 90  
3917 0 0    83 98 40  
3938 0 0    109 104 61  
3936 1677 2628    158 98 447  
3915 1669 2644    111 70 294  
3916 0 0    94 83 69  
3908 1691 0    58 86 94  
3938 1682 2633    82 119 38  
3922 1696 2663    78 91 108  
3931 1680 2636    96 64 167  
3907 1659 2642    70 141 176  
3920 0 0    80 79 62  
3928 0 0    94 141 38  
3912 1735 2715    77 99 179  
3930 0 0    120 178 41  
3915 0 0    126 98 37  
0 0 0    33 23 36  
3911 0 0    67 129 38  
9596 1673 0    152 212 332  
3932 0 0    76 83 380  
3923 0 0    125 74 53  
3897 0 0    75 173 33  
3909 1680 2660    121 168 352  
15546 1693 2637    114 108 252  
3927 1702 2664    103 111 143  
3932 1666 2622    72 87 200  
3918 1672 2644    221 152 144  
3945 0 0    71 47 29  
3918 1689 2657    191 262 267  
3913 0 0    85 141 70  
0 0 2638    179 128 184  
0 0 0    47 28 139  
0 0 0    33 143 39  
3926 0 0    90 60 39  
3931 0 0    115 186 47  
0 1675 2635    95 142 196  
3935 1700 0    301 141 263  
3929 0 0    102 57 43  
3918 0 0    108 118 48  
0 0 0    75 159 39  
3935 1666 2623    88 66 152  
3892 1677 2673    80 173 126  
3938 1695 2647    105 86 194  
3913 1684 2661    83 110 185  
3917 1706 0    55 175 82  
3932 1696 2654    82 138 114  
3913 1678 0    78 122 152  
3901 0 0    82 81 36  
3932 1687 0    84 103 135  
0 0 0    34 26 37  
3887 0 0    71 138 38  
3914 1674 2651    66 126 156  
0 0 0    40 57 26  
3919 0 0    100 118 32  
3924 0 0    67 127 37  
3935 0 0    98 113 39  
0 0 2636    86 117 176  
3945 1675 2615    60 151 142  
0 1729 2629    128 164 238  
3920 1671 2635    73 130 137  
3912 1679 2653    122 206 151  
3933 0 0    116 102 63  
3918 1677 2647    81 151 180  
3921 0 0    82 99 64  
3897 1673 2666    77 110 114  
3877 1655 14594    81 127 165  
3878 0 0    82 92 188  
3938 1698 2648    157 155 170  
3899 1694 0    82 141 83  
3923 1673 2640    152 99 286  
3893 1677 2673    57 129 175  
3929 1687 2652    141 105 109  
3926 1660 2624    70 77 237  
3951 0 0    65 87 54  
0 1718 0    88 109 186  
3917 1682 2652    84 113 144  
0 0 0    36 30 36  
3935 1657 2612    63 97 230  
3910 1670 2649    73 77 213  
0 1688 2653    41 147 147  
3929 0 0    141 213 34  
3896 1651 14411    77 92 259  
3902 1657 2642    90 67 282  
0 0 2630    58 105 182  
3936 0 0    58 65 37  
3924 1686 0    54 116 87  
3927 1686 0    85 101 160  
3942 1682 2627    107 118 238  
3925 1677 2651    124 105 189  
3903 1683 2672    68 172 141  
0 1705 0    95 136 60  
3910 0 0    72 301 44  
3907 0 0    147 315 36  
15524 13074 2674    80 131 116  
10949 1675 2730    119 135 112  
3909 1671 2654    74 99 169  
3914 0 0    79 62 37  
3917 0 0    83 120 43  
3932 1657 2612    105 149 110  
3939 1677 2629    113 100 197  
0 1694 2664    102 100 97  
3915 0 0    135 207 33  
3918 1691 2661    90 98 144  
3927 0 0    112 129 79  
3938 1693 2643    181 83 136  
0 0 2640    70 96 176  
3922 1688 2654    86 126 131  
0 1710 2632    74 92 143  
3928 1693 2653    95 124 151  
3943 0 0    104 101 39  
3938 1697 2648    99 67 117  
3925 1687 2653    84 94 163  
3927 1680 0    75 180 186  
3913 0 0    118 105 48  
3958 1711 2661    102 69 103  
3922 1681 2651    74 101 162  
3946 1716 2661    423 219 178  
15573 7403 2658    173 156 375  
0 0 0    33 25 39  
3976 1729 2640    317 71 178  
0 0 0    34 25 39  
3956 0 0    36 129 39  
3928 1703 2665    77 110 87  
3933 1687 0    77 171 218  
0 0 2656    121 102 146  
